id;street;city;province;country;address_type;telephone_work;telephone_home;cellphone
1;../fake-data/blob/hipster.txt;Kerlukechester;Interactions Versatile hack;Suriname;POSTAL_ADDRESS;Kansas index;Solutions Chick;Dakota Customer
2;../fake-data/blob/hipster.txt;Thalialand;Mandatory web-readiness;Saint Helena;POSTAL_ADDRESS;Account;purple Credit D;Chile
3;../fake-data/blob/hipster.txt;New Olebury;Berkshire Designer the;Norway;POSTAL_ADDRESS;Incredible Appl;interactive;grow orchid Leo
4;../fake-data/blob/hipster.txt;Aiyanaburgh;Guilder;Saint Pierre and Miquelon;PHYSICAL_ADDRESS;ubiquitous Avon;Assimilated opt;alarm Dinar Bac
5;../fake-data/blob/hipster.txt;Dorcaschester;override projection Taka;Swaziland;PHYSICAL_ADDRESS;state Savings;invoice;Administrator B
6;../fake-data/blob/hipster.txt;Virginia Beach;input Account;Poland;POSTAL_ADDRESS;payment bolivia;evolve Ramp;Metal
7;../fake-data/blob/hipster.txt;Treutelshire;Personal calculating;Czech Republic;POSTAL_ADDRESS;Cameroon Pizza ;transparent pur;COM
8;../fake-data/blob/hipster.txt;East Elveratown;compressing Unbranded;Uruguay;PHYSICAL_ADDRESS;task-force nati;USB implement;CSS compress
9;../fake-data/blob/hipster.txt;Lake Flaviemouth;Practical Factors;Venezuela;POSTAL_ADDRESS;Rustic withdraw;Soft Beauty;Awesome mint
10;../fake-data/blob/hipster.txt;Margeberg;Chicken killer cyan;Greece;POSTAL_ADDRESS;white;infomediaries S;Specialist Gran
